nom_image,label
crop_23.png,texte
crop_25.png,icône
crop_29.png,icône
crop_30.png,texte
crop_34.png,icône
crop_38.png,icône
crop_4.png,texte
crop_42.png,icône
crop_46.png,icône
crop_47.png,texte
crop_49.png,icône
crop_50.png,texte
crop_52.png,icône
crop_53.png,texte
crop_55.png,icône
crop_56.png,texte
crop_60.png,icône
crop_61.png,texte
crop_65.png,icône
crop_69.png,icône
crop_73.png,icône
crop_77.png,icône
crop_8.png,icône
crop_81.png,icône
crop_85.png,icône
crop_89.png,icône
crop_93.png,texte
crop_94.png,icône
crop_95.png,icône
crop_99.png,texte
image.png_crop_12.png,icône
image.png_crop_13.png,texte
image.png_crop_15.png,icône
image.png_crop_16.png,icône
image.png_crop_18.png,icône
image.png_crop_19.png,texte
image.png_crop_21.png,icône
image.png_crop_22.png,icône
image.png_crop_26.png,icône
image.png_crop_27.png,texte
image.png_crop_31.png,icône
image.png_crop_35.png,texte
image.png_crop_39.png,icône
image.png_crop_4.png,texte
image.png_crop_43.png,icône
image.png_crop_44.png,icône
image.png_crop_48.png,icône
image.png_crop_52.png,icône
image.png_crop_56.png,icône
image.png_crop_57.png,icône
image.png_crop_61.png,icône
image.png_crop_65.png,icône
image.png_crop_69.png,icône
image.png_crop_70.png,texte
image.png_crop_8.png,icône
1.png_crop_100.png,icône
1.png_crop_101.png,icône
1.png_crop_105.png,texte
1.png_crop_106.png,icône
1.png_crop_107.png,icône
1.png_crop_111.png,texte
1.png_crop_112.png,icône
1.png_crop_113.png,icône
1.png_crop_117.png,texte
1.png_crop_118.png,icône
1.png_crop_119.png,icône
1.png_crop_12.png,icône
1.png_crop_13.png,texte
1.png_crop_16.png,icône
1.png_crop_17.png,icône
1.png_crop_19.png,texte
1.png_crop_21.png,icône
1.png_crop_23.png,texte
1.png_crop_25.png,icône
1.png_crop_29.png,icône
1.png_crop_30.png,texte
1.png_crop_34.png,icône
1.png_crop_38.png,icône
1.png_crop_4.png,texte
1.png_crop_42.png,icône
1.png_crop_46.png,icône
1.png_crop_47.png,texte
1.png_crop_49.png,icône
1.png_crop_50.png,texte
1.png_crop_52.png,icône
1.png_crop_53.png,texte
1.png_crop_55.png,icône
1.png_crop_56.png,texte
1.png_crop_60.png,icône
1.png_crop_61.png,texte
1.png_crop_65.png,icône
1.png_crop_69.png,icône
1.png_crop_73.png,icône
1.png_crop_77.png,icône
1.png_crop_8.png,icône
1.png_crop_81.png,icône
1.png_crop_85.png,icône
1.png_crop_89.png,icône
1.png_crop_93.png,texte
1.png_crop_94.png,icône
1.png_crop_95.png,icône
1.png_crop_99.png,texte
2.png_crop_11.png,texte
2.png_crop_13.png,icône
2.png_crop_14.png,icône
2.png_crop_16.png,icône
2.png_crop_18.png,icône
2.png_crop_19.png,icône
2.png_crop_21.png,icône
2.png_crop_22.png,icône
2.png_crop_24.png,icône
2.png_crop_25.png,texte
2.png_crop_26.png,icône
2.png_crop_28.png,icône
2.png_crop_29.png,icône
2.png_crop_31.png,texte
2.png_crop_32.png,icône
2.png_crop_36.png,icône
2.png_crop_37.png,icône
2.png_crop_38.png,icône
2.png_crop_4.png,texte
2.png_crop_42.png,icône
2.png_crop_43.png,texte
2.png_crop_45.png,texte
2.png_crop_47.png,icône
2.png_crop_48.png,texte
2.png_crop_5.png,icône
2.png_crop_52.png,icône
2.png_crop_53.png,texte
2.png_crop_57.png,texte
2.png_crop_61.png,icône
2.png_crop_62.png,texte
2.png_crop_66.png,icône
2.png_crop_67.png,texte
2.png_crop_7.png,icône
2.png_crop_71.png,icône
2.png_crop_72.png,texte
4.png_crop_11.png,icône
4.png_crop_12.png,texte
4.png_crop_16.png,icône
4.png_crop_19.png,texte
4.png_crop_22.png,icône
4.png_crop_23.png,icône
4.png_crop_25.png,icône
4.png_crop_26.png,texte
4.png_crop_29.png,icône
4.png_crop_30.png,icône
4.png_crop_34.png,icône
4.png_crop_35.png,texte
4.png_crop_39.png,icône
4.png_crop_4.png,icône
4.png_crop_40.png,icône
4.png_crop_44.png,icône
4.png_crop_45.png,texte
4.png_crop_49.png,icône
4.png_crop_5.png,texte
4.png_crop_50.png,icône
4.png_crop_54.png,icône
4.png_crop_55.png,texte
4.png_crop_57.png,texte
4.png_crop_59.png,icône
4.png_crop_60.png,texte
4.png_crop_62.png,icône
4.png_crop_63.png,texte
4.png_crop_65.png,icône
4.png_crop_66.png,texte
4.png_crop_7.png,icône
4.png_crop_70.png,icône
4.png_crop_71.png,texte
crop_100.png,icône
crop_101.png,icône
crop_105.png,texte
crop_106.png,icône
crop_107.png,icône
crop_111.png,texte
crop_112.png,icône
crop_113.png,icône
crop_117.png,texte
crop_118.png,icône
crop_119.png,icône
crop_12.png,icône
crop_13.png,texte
crop_16.png,icône
crop_17.png,icône
crop_19.png,texte
crop_21.png,icône
